,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,superseded,tags,total_length,total_surface,total_volume,dendrite_type
347,70.6975433579336,,0.882689163690936,0.4104058675755,56.075,0.846822581426059,,544901765,7.0,470.78828432334603,506.38190518400995,dendrite-only,20,46,2377,6,26,109.6651,502.049754773225,348.473116065773,0.1144,0.1144,0.28,308.808094222838,526643573,False,3D Neuron Reconstruction morphology,2871.0298801180797,3663.40098491303,512.467910664197,spiny
348,75.8038466349327,,0.8240888066766671,0.533308236424921,47.5416666666667,0.9870557737463629,,591276438,4.0,230.652769422957,295.788338716214,full,12,31,1416,7,19,87.5624,215.000704685789,339.252872220937,0.1144,0.1144,0.28,301.41253450989495,574059157,False,3D Neuron Reconstruction morphology,1701.43653475431,2847.93253599005,382.32395961715304,aspiny
349,69.3646469788289,,0.887581485063393,0.554520708165438,51.8163265306122,0.936444948916225,,599474489,12.0,417.55652924479597,483.67488097895205,full,50,107,5140,7,57,104.16,514.0274414223011,312.12092014293097,0.1144,0.1144,0.28,296.823667011611,548425467,False,3D Neuron Reconstruction morphology,6023.814516093929,10703.1809741475,1667.9115637578,spiny
350,66.47262288967529,,0.911625157924518,0.431508101108312,52.038461538461505,0.818100413710033,,492413372,10.0,598.6750934519159,662.074583528385,dendrite-only,27,63,2988,9,36,92.3835,693.351167919709,317.674052872631,0.1144,0.1144,0.28,483.767928023974,480353286,False,3D Neuron Reconstruction morphology,3396.91577111159,4605.49560561356,564.966561559711,spiny
351,67.9985237973612,,0.917771701567012,0.469860812930385,51.136986301369895,0.8982371360043441,,538906871,19.0,610.121891269326,658.867315310722,full,73,156,7760,10,83,117.7462,874.697784956764,487.70589271782603,0.1144,0.1144,0.28,1103.50698995611,508417989,False,3D Neuron Reconstruction morphology,9017.13745065337,13292.316923246499,1911.8777171324398,spiny
352,69.8656506845414,,0.8895008640429629,0.54701647037559,73.9671052631579,0.9598005970125442,,666145381,14.0,475.16189586120004,541.524261226643,full,77,165,11382,11,88,141.8603,676.653199945897,463.585506481595,0.1144,0.1144,0.28,858.381967870034,548440226,False,3D Neuron Reconstruction morphology,13403.504258054,23353.7812382811,3555.7455793645704,spiny
353,80.6735247696208,,0.8312211573734158,0.516951731875431,52.230769230769205,0.9759354589674909,,599475043,8.0,312.584833150394,657.846411129933,dendrite-only,13,33,1770,7,20,116.71799999999999,366.27570351120903,362.045359429261,0.1144,0.1144,0.28,261.956058165745,580005568,False,3D Neuron Reconstruction morphology,2106.84617821502,3421.2748451657103,465.900887580345,spiny
354,76.50382789320491,,0.9068934413782491,0.40649124318006,51.5,0.9102814798780521,,510989742,12.0,605.4470188485859,654.751135555582,dendrite-only,26,60,2842,8,34,45.0397,760.676617293921,219.89088784437698,0.1144,0.1144,0.28,170.731337832836,480122859,False,3D Neuron Reconstruction morphology,3205.8410485687104,4098.87847472936,475.381078630808,spiny
355,70.2860008731607,,0.895460819194867,0.46053668198086,41.1842105263158,0.9052152248389201,,506798042,10.0,300.94723084549196,357.857878735324,dendrite-only,38,84,3355,8,46,111.2546,355.77726010909106,302.005042892578,0.1144,0.1144,0.28,489.297269162917,486262299,False,3D Neuron Reconstruction morphology,4044.5039285217204,5842.09635557476,782.431071773363,spiny
356,67.9881267320436,,0.8239511885042891,0.203413657461492,73.6176470588235,0.9680188930583911,,673136338,4.0,291.113644313437,336.940405395247,full,17,39,2550,5,22,90.2896,415.306232234572,446.582145787622,0.1144,0.1144,0.28,69.2061361585736,555241040,False,3D Neuron Reconstruction morphology,2968.5406756999396,1921.87468088392,101.07712537530199,aspiny
357,65.8299633189159,,0.9207339570102471,0.23577359763379,52.870370370370395,0.8518656693730341,,496085272,6.0,438.68430723800697,484.76260003100197,dendrite-only,27,62,2942,8,35,65.8273,560.305221715214,248.914926587901,0.1144,0.1144,0.28,57.347273457351505,485912047,False,3D Neuron Reconstruction morphology,3345.2045873215698,2486.46367389804,163.76814171605102,spiny
358,81.6547319434397,,0.715295372857126,1.00306111977956,145.794117647059,1.0,,603515592,6.0,516.702574585206,663.2815654867591,full,17,38,5056,4,21,159.8668,482.427808059354,884.7314770377569,0.1144,0.1144,0.28,527.6321918438481,576120017,False,3D Neuron Reconstruction morphology,6075.05552858302,19151.5128378564,4986.31699669052,aspiny
359,87.7984820658073,,0.8262680020435391,0.5781305200704371,47.375,0.9895799611524759,,610886173,4.0,149.468784991248,229.185567464448,full,16,38,1728,6,22,95.305,245.559419941759,158.45529855656602,0.1144,0.1144,0.28,395.875203505837,585832440,False,3D Neuron Reconstruction morphology,2062.0287137605,3747.5709978543896,548.25386836649,aspiny
360,66.6589641533494,,0.9113247090077979,0.0448198777427019,68.0,0.8220256844139621,,491119721,3.0,300.533367336274,342.939602855501,dendrite-only,10,25,1502,5,15,81.6116,307.34225854501,389.388437324824,0.1144,0.1144,0.28,6.53320938658421,478396248,False,3D Neuron Reconstruction morphology,1730.02946458657,244.195872343645,2.47012336432568,aspiny
361,70.96982763508831,,0.917775537862155,0.28134624217590004,52.21428571428571,0.975878024770734,,496079434,4.0,228.843100895985,258.942638299632,dendrite-only,14,33,1498,5,19,67.7418,337.210742332157,197.009792883937,0.1144,0.1144,0.28,255.79873161301398,484742372,False,3D Neuron Reconstruction morphology,1765.51825108124,1560.36198713635,119.76196074716002,aspiny
362,73.39433073507041,,0.826781002213762,0.42126684087500393,63.17647058823529,0.9999251268178929,,569319306,4.0,283.743123706531,334.475166118547,full,17,41,2580,7,24,105.0901,230.467241554158,517.83866208635,0.1144,0.1144,0.28,698.705146722314,530731648,False,3D Neuron Reconstruction morphology,3036.3131046553003,4011.84600439998,440.71662846834505,sparsely spiny
363,80.71298310132829,,0.86924497703024,0.34805702682816303,31.283333333333303,0.9819431342343341,,591276216,11.0,272.156209654382,326.773120251549,full,30,65,2088,5,35,75.8489,413.204980937674,206.36053962628998,0.1144,0.1144,0.28,143.13446299139602,569810649,False,3D Neuron Reconstruction morphology,2439.33086301772,2669.54903812708,231.217923078237,aspiny
364,80.6495628584509,,0.8537037786955319,0.49662524971636496,114.0,0.7812541478500921,,584238107,11.0,1020.0962161934599,1093.6074524396902,full,17,38,3816,4,21,86.7137,1218.7034160610901,380.03530465411905,0.1144,0.1144,0.28,303.187435128037,571430815,False,3D Neuron Reconstruction morphology,4430.4254651170395,6917.60991037022,915.114938008914,spiny
365,80.62101969222441,,0.877508716395253,0.406728645883443,54.0555555555556,0.878034303605552,,673427331,6.0,377.844064803035,390.798654906903,dendrite-only,27,58,2943,4,31,99.6856,392.731101434094,253.206727932424,0.1144,0.1144,0.28,304.439175835011,370351753,False,3D Neuron Reconstruction morphology,3018.96459144989,3867.1976100357,438.46350510218696,spiny
366,71.1173955494785,,0.9057589014072379,0.4036261142259289,82.8805970149254,0.957894287895647,,572836713,17.0,676.914759843453,782.9931877249651,full,67,140,11188,6,73,164.0764,934.620097070097,585.776936096517,0.1144,0.1144,0.28,618.558718180465,529845713,False,3D Neuron Reconstruction morphology,13273.288171751,17015.1282009724,1992.4834055539102,spiny
367,84.95120314459051,,0.859646144432264,0.659219911379788,71.0227272727273,0.979625190774305,,709264598,12.0,462.72417968764097,548.1669306926519,full,44,95,6350,7,51,120.069,582.891844328098,549.3378405363491,0.1144,0.1144,0.28,311.981258409933,531523484,False,3D Neuron Reconstruction morphology,7587.058046994201,15725.5305982376,2946.25722041466,spiny
368,83.84915329471991,,0.778596346082101,0.470796056935442,36.875,0.996097892196345,,614429153,7.0,146.904395947092,188.828374057929,full,24,53,1806,5,29,119.1456,128.859231027568,222.375095034777,0.1144,0.1144,0.28,399.03818335244796,596036453,False,3D Neuron Reconstruction morphology,2232.9350233339896,3311.5745568865004,391.774375264526,sparsely spiny
369,70.2237942784251,,0.9214789977960829,0.350334034988269,40.86,0.800252799507259,,505203905,8.0,405.513581883135,440.605055411234,dendrite-only,25,61,2366,11,36,103.3947,530.6307183877291,263.711760687317,0.1144,0.1144,0.28,203.313285460771,488420599,False,3D Neuron Reconstruction morphology,2888.02209613311,3166.97170291617,323.722146376505,spiny
370,79.9130178678458,,0.904118572986645,0.45434776303890795,50.0,1.0,,601947850,3.0,188.809347322795,211.298176582902,full,17,40,1793,6,23,69.0172,318.34833327354903,283.012344301621,0.1144,0.1144,0.28,254.620616626939,580161872,False,3D Neuron Reconstruction morphology,2098.12881321007,2995.55485335825,342.91342418801,aspiny
